4 100000
zzzccacbbab bcbbbaba aaaacac caaabca
acaacba acbb babca zzzbcbcabc
bbc acccaba zzzaba accaaab
cbac cabaca caac zzzcabc
aca zzzabbbcbb accbcbb aac
zzzcbbca cbabaa cbbac bb
ca bbbcca zzzbaabbb ba
ccccacaa bc zzzaccacbba aabc
aabcaca bbca ba zzzac
zzzbaaa cbaccc acab cbbabb
cabca bcaa zzzaa bb
ca baab ac zzzca
aa aa zzzcbaccba cabbcca
ba aab zzzbc cbaccc
abc bcccc baaa zzzcbcba
zzzcc cb abcaac ab
babccabc zzzbbaaaccc abbbaacc bcacab
zzzaac ccbbc cba ccbc
zzzbcabaa baa abaaca bc
aa babccaac aaccbbc zzzba
cbacccc accaaca aaa zzzcccbaab
zzzacac caacccc ccaa bababb
zzzbbababcb acbbc bcbaabac ccaca
acc bab zzzbcaabcbb bacaabaa
baaa acba zzzabcc cb
bacbabcc aa zzzcbcabcca abc
ba bbccbb zzzccbcaaa baabbaa
zzzaabcbbb caab cbccbac accacb
ccc zzzacb acbbabc caa
acbbba baaabba acb zzzcab
ccbaaccb abccbabc abaaabab zzzbbcaacab
bca zzzbba abc abbacca
abbbc bcbaabc accbac zzzcaabba
baccaaa bbbbc zzzabcab aab
acbbcaac acbbaaa zzzcbbcbbac cb
bcbabbc acbc zzzcaaccc aacccb
aaabaccc zzzacbbabc bcaaacc abbbbacc
cbccba zzzbbac cbcbaac bccc
ccbbcba bccc zzzcaab aaaaabc
babcc ccbcabb zzzcbaacac ac
aaba bcccb zzzaacabc bcbbca
bcbccbba zzzcabacbcb aabbbccb ccc
zzzabaabbcc aacaabaa ababb abbacab
acbaa acbcccc zzzabccc abccb
aaa cbcabaa zzzccb aca
zzzca cbccccc ba bcaba
babba aabca zzzbacbbbbb cccabcac
bcb zzzbbabbbb aabbccc abbaacba
zzzaab abb abacc baaccaa
baaacac ba zzzcb ca
ccb bacba zzzcac acb
zzzbba baa abcacab bbabc
baacbcbc zzzabcba cbcbcccb bccca
abcc aacaabcb cc zzzac
abaacccb cc bc zzzab
bc cc ccb zzzcc
aabaaa bacc baaa zzzcbbc
abb cab zzzbca abab
babcabcc zzzacaabcbb accccbcc bbc
baacacba bacac zzzccacaaca ab
zzzbca cbc ba acaa
acca ababc bcbcbb zzzbaaa
acabbac zzzaabc acba bbacacb
zzzcacc abca cbbabcca acaacca
baaaa ccccb caab zzzabbbc
ababcbaa abcacbbc zzzcccababb abac
acbcbbba aaaacbcc zzzcacbccba cbbcb
cb aaccba zzzabbc accb
zzzbccc bcb ccac bcbab
abbbcb ca zzzcbcaaac aacaabb
bc ccccbcbc zzzcba aac
abb caba aac zzzcac
caab bbccbc cbbccba zzzcacacc
aaacc zzzabcaba ababca aa
bcccbbc zzzca ca abcac
aacbbca bbc ac zzzbbc
babcacab bcccbabb zzzaaaaabbb bcacab
bccaa acbccab ccbb zzzaacbccc
aacbaaaa bacbabb aa zzzbcbacca
caabbaac acaba zzzcbaca bc
bbbcc zzzabbcc bab ccbcaaac
cac zzzaba ba ccba
bbcaa baabaa aaacc zzzbbcbb
baccbaa aa zzzbccccab acccabb
cbcbabc aacca zzzaca acb
bcabbbc zzzacabacc acc cacabb
caccca acaa zzzaaac babbaca
zzzac cacc ba aabcab
baabacc ccccacc zzzcccccc bacabc
cccb aaccccbb bbcc zzzbbba
bb bcababb zzzccbccb cccabb
bbcaaa bbccb zzzcbbc bbcb
aac zzzccc bac ac
abaccaaa zzzbcbc bbcb abcaa
bbac zzzbcbcc ccccbbbb ccaca
zzzabbc bbabb bbbc bcaabb
cacc zzzacab cc bcacc
bacba ccbbbacc zzzaabaacab aabbc
bcaacbac cccbbcb zzzbaabc babcc
ccabaa zzzbaaacb bab bc
zzzccbac cc abbbc ca
babaaba aabca aacbba zzzbcbcab
bb zzzcbcb caac accc
cbbca zzzabccb aabcb cbb
caaaa bca zzzaac abb
aacbcca zzzbbababca abacbccb ababbb
aa bbcba abaaba zzzcacaba
baaccbb zzzbaacbba cabcac cbcabcb
acbba cbcabac zzzabbbaabc ccaaabbb
zzzccaa cc abcbbcbc acac
cbbacc cc zzzbbbbcba accaaac
abcbcaa zzzcbaabca cbbcb ccbcbac
ccabc zzzaacbb abbbccac acb
abcabb bbac bac zzzaaca
bab aaabaccc zzzbac caaabcc
aabbcb ca zzzbcbbba bcbabac
abacac zzzbbbbbc bccbccba ccba
zzzabababc abac aaaabac aacaacca
ccccbb zzzcac cccaacb bbc
acbaacbb zzzcac acbaaac cba
cb cbbbccb zzzccccbac cbab
bcacbcca zzzcbbcbac accbaaa abbaaac
zzzaccccbb ac ccbcbab bcaaaab
zzzbabcbcb caacaab abcabc baaabac
cbcbc acbc abc zzzaac
zzzbca bcabcaca aa bac
acbcbcbc zzzabcabbcc abc bbabccba
bac aca ac zzzaaa
baaabb zzzacbbbb cbccbb aabaa
abccca bca baac zzzbaabcc
zzzcaabaa ccccac baabaab cabcba
ccc cabaaba zzzacb cacb
zzzcab ccc abbbbaac cacbcbb
zzzcaaaa cabcc babccca bac
cccbbb baacc acbbc zzzbacba
zzzaacbb bccac ccbab cbccbaa
ccb baaba zzzcb aa
zzzccaac bbb abbab cc
zzzca aacbacba aaaa cb
ac cbcccac zzzbbaa cccb
zzzbbaa aacc abababb bacc
zzzbba bcabcba ab abc
baaacb zzzcbbbb abcca abaaca
cab abba ccacc zzzbcaab
cbcc cc bbaa zzzca
acbaa zzzcbcb acbabbab bbba
bbcacccb zzzcacbcabb aabcc bcab
zzzbc bcb bc aca
bcbaa zzzacbc cbcb ccccc
zzzccbcaa ccbacc aaabcc cc
zzzbccaaba cabc aaabccbb cbaabca
ccabcb bacbca zzzac ba
bc bacb zzzcc abca
zzzba cc bbb caa
aa cb ccb zzzacb
zzzbaab caa ccac aacccbab
baaacb zzzbcab ca aaaa
acccabb aacbc caa zzzcaccbaa
cbac bbbbccc bbc zzzcacaccc
cccb caa zzzcaa bcaac
abbbbaa zzzbcab abca aa
ba cbcaccca zzzac ca
cc abcab zzzabbc acbc
zzzccaacba cbaabcc cbacb ca
baca aa zzzcaa bbb
acbacaab ccab abcaa zzzabbaaaab
bccbaabc zzzabcbacab aaccbc acaa
acccaba abc zzzcca bb
abaccb aacaccab zzzcbcbca ccbba
zzzacaa baac baac cbbcc
bcab aacac zzzacaa bccbc
ba bcb zzzcbabb accba
zzzabc cc ba cbc
zzzba cccbba ab caaaa
aaaacaaa aacb zzzccba acbc
zzzbccabba abcbbaca ccaabbb babcbcaa
cbab cba caacbccb zzzcbc
zzzababbabb bbcc abaacbbc aaa
bcc abaa zzzca ac
bcc ccaba bcc zzzbcabc
zzzaccbab bccbca ba aa
cac zzzcbb acab acaaabaa
zzzaccccbaa abbc caaabbbb cbb
bac bcbc cab zzzcbb
aa bcbb zzzab aabc
ccb cacbccc zzzaab cbc
accbabb bcb aabbba zzzccacbac
cc zzzccbb aa cbcc
bba aabc zzzaaab caba
zzzaaca aaabccac bcbb accc
zzzbcbcaaac abcc acbaabab bcccbbb
cbaab zzzaa cab ca
zzzbbbab bc cccba cc
bcc baba bba zzzaaab
abcbcbbb baab zzzcabacbaa bbbaaaab
zzzcaba bbcbc ccacbccb bcbb
ccbbcaaa ccbbaacc aca zzzcaabaaba
bcbbcb bcaa zzzbbcacb cbbaaabb
aaacc cababcc zzzacccbcb ccabc
bc bcabac babca zzzaacccc
accaccc baaabca zzzccccccc babccb
ccaccb abacb aacaaca zzzacbacc
aaaaca zzzacacca ccbabbb bcbcabc
cac baa zzzcabcccc caaacca
acabaa zzzccacac cabccc ccaccac
cc zzzccabc ac cbcca
zzzaacc cab cbcb aca
bbacc cabb zzzbaa aaa
aca cbc abbacccb zzzcba
acacc zzzacb cbaaab abb
ababbbac caac aacc zzzcabb
zzzbbcca ccccb cbbbac baba
baacccc zzzbcbba ccbcab acbaa
ababbaa zzzcabb aaab cbabca
zzzbbcbcac cabbcbb aacab cbbacbac
acbb zzzcbca babbbbc ccbbc
zzzbbbbacbb abaabcaa abab abc
aabc zzzcbbbbc cacaca acbccbac
bcab zzzbabca bbbbc bb
caabcca cba aacb zzzbbb
aaba bc aab zzzbccc
zzzabcccc baaac cbbacc aacb
acacc accaabbb zzzaacac caaba
acaabb ccbcab bcbacbaa zzzbccbaaba
babb baac cbabcb zzzbbbbba
ccacacac bcaacb ccbaa zzzbbacc
ccbac cbc aa zzzac
ac aaabc zzzcbaa aaba
aab bcbaa zzzcaaaa ca
zzzbaacacc aabcc ccbbbcc cacaaab
abcaaa ccb zzzcabba bbabc
zzzaa baaabb cacb aa
zzzccbc acca caccc cbabb
zzzbcabcbc bbbccab bcc aba
cbbc cbaccacc zzzbccaaaa acbbcaa
accaacb ac cc zzzccabaab
caacaab aaba zzzcccc cabcb
cabacaca zzzabbbcbab cabbaabc ababa
zzzccbaac bcabcb cbcbb baaccaba
aaccaac zzzbcbcaab babaaa aaaaba
abb baaaa zzzbbb bcbbcb
cbaaacab bbcaba zzzcbabb cabaa
caacba caccbbb zzzccaaac cbcaaa
cbc zzzac abacbac bc
cbbcc zzzbacbb caac aabbaa
cbbcba babbcca zzzbaabb abaaa
ab zzzac aacca bccccbcc
abab ccbc bbcacaa zzzbcca
bccaccaa abccaa zzzccacbacc cbca
zzzccbcaac ab ccababb bcaaca
bcbccaa cbb bcaccbb zzzbacccbc
zzzaac caabacc aac bcc
acbcbb aacacc zzzbacbba aa
zzzbbbccac cabcccb aaa aabacbca
cacccbba acaaca ccaaabb zzzcaacca
bbbba cbacc cccaaaca zzzabcbb
cbabcbcb ababca cc zzzcaabaaaa
accc aa bbbabb zzzbc
zzzbbaca bcac abacb abcccc
zzzaabccac bab cabcbac aaaabbba
cbcacb ab zzzcaabaa cabc
acbbbaa abbac zzzbccba bbaba
aba bca zzzbba ccc
zzzcabbcc accbac cabacc baacab
acacaac zzzacababc accac bbcaa
bccbb zzzaaaaac bccacb aabccca
abcc zzzacac bbba aacab
zzzaab cabcabb bba bbc
cbbccc bbccba zzzaabacc bb
ba bcaaaba zzzccaabcb aabac
acabcc bcbca acac zzzcaacb
bac cccaab ccabaccb zzzaacbcabb
cbabcac ccacabc caacccab zzzbcbaaaa
bacbaa bbbbca bbcbb zzzaccaa
acb zzzcaa aabcaa ababa
ab bbba acbcccc zzzabbb
ccbbc zzzcaaacc cbcbbcb aaacaa
cbaccaa acab zzzaaba bcabbcbc
zzzbabbaca cabcbba bcaccb cb
zzzcabbcaca ccc ab bbaababb
ccaccab cbbbbcbc zzzbccbabca aa
cbacacc baaaac cccca zzzbcaabb
abccacb zzzcaabaab aabaac cca
aaacab abbac acccccbc zzzbcacc
ccac cabbbba ca zzzbbbc
acbaa zzzacccc cb caaaaba
cacb bcabb zzzabcac acbacb
bacbba abaca zzzaaabccc cabbcab
bcabbb aac acaacbab zzzbaabab
bac zzzaaabcaca ababc bacacbca
bcbaaac bbb zzzcc bb
zzzcbabaa bccb caaabc ccacbcba
zzzabccaa aacabab babccc cbac
zzzabaacc aacccc bbbbcc cb
cbaaaa bc zzzbc babaac
caacca bacbccb ac zzzbaabac
aa zzzaa bb ba
acbbcbcc zzzbcc aab cbacbb
cccc bbb zzzcccc aabbbba
zzzccbb acacaac cacb cab
zzzbacccb abbccb bbabbb bccabc
acb aaaaca zzzbbbbcb cba
cabacab bc zzzacc abc
abb zzzcbacbaba bababbaa cabbbcc
cc bcc cccaaa zzzba
ccacbbcb zzzccbb ccac bcaac
abbbabbc zzzbab cbcaabaa caa
ccbcbbb cbbca cbcbab zzzcacacaa
zzzaccbcccb acac cacab bacacaab
baab zzzaacc ccbacaca bacc
cab bcc cabbbab zzzabb
cbccbb cccc babab zzzbaaa
ccbc zzzbbbb abca cbbbabca
cb zzzbbcccbb babccb cacbccc
baa ccac ac zzzcca
zzzbacaaba ccbcbaac acabcaa bcbcccba
bbbacba zzzabacaab bbcbcba cacbccb
cc acabcbba zzzcb bccbabca
baaacc ccac zzzcaac bccb
abccc aaaacbcc zzzbaabcaba ac
cbcca bcabccb aabc zzzbbacabb
bcbcaaba acbbac zzzaaacaacb babb
cabbc zzzaab ccbaaba bbb
caaaacb zzzcbc ccaab acb
aa cbccb cbabca zzzcacbbc
abab abc zzzcbcacab aabcacc
zzzbbca bcca bcbbaacb bbbacaba
zzzab bcaba ab acaa
aaab bcaba caac zzzacca
zzzabbbbc bcbbaa cbcbbaa bcbbcac
bcaac zzzaabbb bbb cccba
aabbabac ab zzzcbaacca accbaaa
zzzaccc accaaac cbab ccc
zzzca cbbb ca aa
bcbca cc baacca zzzabacc
zzzbbb bcaaaa abbbba cca
baac bb zzzcc accbacc
ab aca bcc zzzccb
bab cbabacb zzzbba aabb
cccccbc zzzabbbcac aabbb cccc
aacbc aaca aabaa zzzccca
ab zzzcb cabbcc accaa
bbacac baac zzzbacb bcaccba
zzzbccc bc bcbbb caab
bcacbaa bbcbb zzzbaaccc aabbbc
zzzaa caaacca cc bcbabba
ccaabb bcaccab zzzcccacb aabccc
aacaa bbbcca zzzbbacb abaa
zzzaa cc aaacacbb bcccccbc
bccaccca aabab zzzbbbba cac
abba zzzcccac bb cbaac
zzzabcbcbc cba aac acaaaab
zzzbcbacbc bbbcabc cbc acabbacb
abcca zzzcba abb cbbbb
zzzbaabcccc aa aabbcbba bca
babccacb abcac zzzcabcccba cbbcbaab
bbaaabaa cc zzzca aca
aa abcc zzzcac aab
zzzcbcc cacacbcb bacbccaa caac
aacbaa cbabbc ba zzzabbbac
zzzca bb cc cabccca
aabbbca abcbcb zzzcccabac bbcbbc
zzzcbbcac bbbbacbc baaaba bcab
ab bbaac zzzbaaaca cbbbcb
bbbca zzzcccaaa acbaac ba
ccbc bbcaaa zzzcacb accaaab
cccca zzzbcc cbb acb
bbcabba cababcac bba zzzaab
zzzaaacaab bcbcccc bc acccb
acaba bc zzzabbbc cbbcbaa
aaccbaac ba zzzbccc aaba
bbccbc abaabba ababaac zzzbacaaa
cbac acccccb bbc zzzaccc
bcaa zzzba accbb cc
zzzabccba bbaca cccaaaaa abbaab
acaccba caaacab zzzaacabbba ccaccccb
zzzcbccacb cccacab cbcba cababab
zzzccb ccc cccac cac
bcbc zzzbacca cccbb ccaca
bccaaabb caccabb abc zzzabcbbacc
zzzcbcac acaab bcc bcbaa
caa bbbaaa cac zzzbac
cccc bcccc zzzbbab cbc
cb bca zzzbabbbab aaaacca
ac ccabc ccabba zzzccaab
ccc cabbaca ccabccb zzzccacccb
cc cb zzzbabcbaac aabababa
zzzbacbabaa baaabcbb aabcca cbbaa
cacc cb zzzbcca ba
abaacb zzzcbcbacc bbacbba cabca
cacaba cabacb cbccbb zzzbaacaa
acbbcccb cbacbcbc cabcca zzzcbbbabba
zzzaa cacbbb cb ccc
cbaaa zzzbaaaabca cabaab cbcaacca
zzzccc ccbbaaca ccbaabb ccc
cbac zzzbbba baaccabb bbaaca
bacccbab cbcbcc zzzbcabcaaa ccabbbcb
ab zzzbba abc accc
ac acbbc zzzba aabcbcbc
bc ca zzzaa bbccb
cc bca ccc zzzabb
cbca zzzaaac aaba cbcc
zzzacc baba baa acbbc
bb zzzccb aac bccbb
zzzcbbac aababa aaabbcc acabc
zzzbc aaacaba aa cccacaa
zzzbaabbbb acaba bbbcbaa aabcaca
zzzcbcaba cabcb baaaab cba
aac cbcc zzzbcb bccbacab
bcaccaa ccbccbac abcaa zzzabaccbb
cbbba ca zzzac caaa
bbcbabac zzzbc bc cb
caaca abcab cbbba zzzcabab
accca cbbccaab caac zzzbbab
cbcacbac bacbaccb bbacab zzzaccbacbc
ccccba zzzbcabab acbcaca bbacab
abacaac cbacaa bcbbac zzzbcbcac
acccbcac zzzbcba aabc cabca
aaccccc zzzcccccbc acaaacc ca
caacabab acbbbbac cbbbba zzzcbabac
caab ccba zzzabaa ab
ab caaaaba babccbca zzzacacaca
baba bccbcc cccc zzzaaaa
acbacab cabbca zzzcbbcca accbbabb
zzzabababc bbbcca cb bbccacc
bcb aababbbc aacbcbba zzzbccabbcc
zzzabcbaab abaaaba aabaaaa cccacbbb
aaab bb zzzcbbbabbb abbbcccb
aab cab ccab zzzaccc
zzzac cbabcca bc bc
accbbc bccaabac zzzbac aac
aaacca abcc zzzaacc cccaccc
aabacbbb zzzaaaabaac cbbabb cb
aaac caccbb ab zzzacacbb
bb zzzccacbaa acbaaab bbabaac
bcacaabc ccabcbca bcaaaaab zzzbbcbaabc
zzzbbb acb aaabaaa accccbac
zzzcbaabca aacbbaa ccbaccbc aaa
aac caba zzzac ba
bbcaab abcccbba aacbcbab zzzcbcbcacc
zzzcccbaaac bbcccaab aa abc
cb cac zzzccaccb bbbabb
zzzbabcab babccb ccab bbacac
caabcabb babbacaa zzzbacaabcc accac
acc cbb ca zzzca
zzzbca ccbcb baca bac
baaacbb babaccba zzzaccbbbac ccb
aba baccbcb zzzcbb aaaa
babbacb baab cbaaacc zzzcaccbab
bacb zzzcaabca cbbc aaaacc
accca acbc zzzccaaa aca
zzzccab cbca aabb abccca
bbcbbac ac aaca zzzabbbacb
aaacca accacca zzzcccccac bbaabbb
zzzabbcbba cbcc bcaacabc abcacaa
zzzbbcabccb aaaabb bacababb bb
zzzcbbac bc aabca bb
cca aa abcabb zzzacbccc
cb cabab zzzbaabb cbbbb
bcbac cbbca baaac zzzaaaac
acbcb zzzacbcb bacacc bbbacaac
cabbc zzzbacccca bbaabcc bacbaa
cacaa bcaa cbc zzzcabcc
bcccc zzzbaaba bbcbabc abbaabc
bbab cccccc caacbbb zzzaaba
bcacbbbb zzzccca cabb babaa
zzzaaacbcbb cc bbbbcbbb bbbabaac
zzzaaab ccbc ccabb caccaca
bcbac aabca aabaccbb zzzbaaac
caa bccac zzzabccac cabcca
zzzba bb aabb bcb
ca cbaacbaa zzzacabaaac babacaac
acabbcab zzzaabca ccbcc bbbab
bc bcbbccaa bac zzzab
zzzbbbcb abcca ccaa cccaccc
zzzabcacbb abbbbc ccbabcb accb
caaba aaba bc zzzcaab
cbcaacab bbb cbcb zzzbcaacaab
bcbbcc abbccb caaaa zzzaacca
zzzaacaa baca cb babcc
aaba zzzbaca abcbbc cabc
abcacbb baa bcbc zzzacb
abbaaaaa acaacb zzzbaaaaa bc
bbbcc zzzcbbab cacabb bbac
ccbabacb ccaab ba zzzbabac
cbabccc aa zzzaabbccb accbbc
cb cc cabacc zzzcb
zzzbbbbcaba babcaacc ca cbbb
ab abaa zzzaaa cbc
cbacbc bbbbcaa zzzcbaaaa aaabb
cbbcc bbaaca bca zzzaaa
abbbb zzzbacba baa baaccab
abaca bc zzzbb bbaaaa
caa zzzaa ba cca
zzzbccaabaa aacb bbbbcaba aabb
ab zzzac bbbca ccbbcc
cbb zzzbbb abbaacc cccbaa
aaccabac zzzabcbcccb cabbca acacba
bbbb zzzbbca acba ccacac
abbc zzzabab cccc baaabbab
bbcbaa cacaabc zzzccacaca caaaaaba
acba zzzcbac bcbcbb acaacaac
acbbccb zzzcaccbabb abcaaaba cacb
abbc aba cbcbaaa zzzbabbcac
babbabab zzzaacca cb bbcba
zzzbccab cbbbabb bbbacb ababa
babb acbbbabb bbbb zzzcccabcac
ccb accbbb bcc zzzaab
ca bccbcbbc zzzcaba bbcc
abbcccb zzzccacba aa acacab
ba ab ac zzzab
caa cccbb zzzbbaba abcaa
zzzaabbbc ca caaccca aacaab
aaa bacbbab baccb zzzabcabca
ababc ca zzzbcaaa bbac
bbbac aa ccbcbc zzzcb
ca aca bca zzzaca
aaaaccbc accaabc abc zzzbac
zzzabbb bcbba ccba ccc
abac cca acaac zzzaaca
acabba ca abcaca zzzaa
aa zzzbabbbcaa caacbcaa baaba
aacca ccacaaaa cabcbbcb zzzaacba
ccbcb cbb zzzabacb cbcbabac
acaabbab zzzbbab cacc bcbc
zzzbbabb cb cbcbc aba
abaacac zzzbaaa abcc bbcc
caabc zzzbaabb cb abbac
acca ababaccc abcb zzzabcc
zzzccbbba cabcbaca cabcbc aaabb
zzzcabbaccb bbcaccbb bcbaac accbccba
zzzacabbcb ca caccccb baaaa
zzzaa ca cb acb
zzzababb abccb baccccc abcbb
ac ccab ba zzzac
ab acacc bbc zzzac
zzzbcbccbb aac acabab acbcccc
zzzbb abcc bb ab
babc bccca bacc zzzcbbb
zzzbcacac cbbacb caaccb baba
aacbcb cc bcb zzzaa
caaa abcac zzzbccb bbcacbc
accbbab cacccb zzzcbbbcbb bbcbccbc
aababbca bababc bcaaa zzzbacaab
acc bacbbc zzzbabbcc cacaa
zzzccbbc accbab babab ccbca
cccbc caaccb zzzbabaa aaacaa
bccb bbac ccabcaab zzzacacbcac
zzzccbcb cbaac ac cabbabca
abbcabbc zzzcabc aacac abaa
cabbba ca bcacc zzzaccac
aca accb zzzccc caab
cbcabaab zzzbacb caba babcbba
bccababc abaccb abbbabab zzzcabccbca
zzzccaabc acbab cbccac ccbcba
abcb babcbb caaaabc zzzbaabccc
cbcbcb aca cb zzzca
accbaa bacacba zzzbcbaaab ababb
bbb baa aa zzzacc
zzzacaacacb ccaaa acccacbc cbcccacc
ccbbc cbbacbb zzzbbbbc ccc
zzzabbaabac ba bbab abbcbcbc
aaacb bcbaabcb bb zzzacbaa
bbbc zzzbbbbcac abaaabac accacab
acbc zzzcabbac bcaabb abbbaa
zzzaaabcb cbbbca bc abccaba
bcc cbbccb caa zzzabb
ccacccc bbacb zzzbabbcbc ccc
ac bbcbccba cbacbb zzzccbccc
cac caaacaac aabacbba zzzacbaacaa
zzzacc cbbcaaba bbab aaa
cc zzzca aabaab ca
cac bcaab zzzccbb babb
cacbac bbcbbbbc zzzbbcbbc abaaa
zzzbabcacb ac accbacb bbbc
aabbac aabaa cbc zzzcbcaaa
zzzbcabc ca aaabbc bbbab
ac babccab zzzac cb
cba babba zzzcc ac
cbbcc bb zzzcb cccb
cbcca zzzcbacb cccaaac acbcbaac
cbabbaaa zzzcaabbabb cbbbcab cbcba
abacabca ccccc bb zzzca
cabb zzzcc ab acabab
cb bacacaca zzzcabbacca aaaaabc
cbcbba ca cabbabc zzzcbbbabb
aca aa cba zzzab
aacabab zzzacacc bbcca bcbcc
bbab zzzbbbc abccaa cbc
bcccb zzzabacb aca acbbaac
ac zzzcb acbbcc acbbcbb
zzzaaabac aaaccb cbaba caa
zzzcabbccb bbcbccc ca bacbca
zzzbaa cbcb aca accbaa
ccbcab bac zzzccbbbbbc babcbacb
cc cccb zzzbaaa ccaabaca
zzzccbcbcca baa cccb bccaaabc
bcbbbc zzzabbcbac cbbcbac abacacb
zzzaaac ccacbbab bccc abcaaabb
acbcba abb zzzaac bcaa
bbabba zzzbcaaca baacaac cca
baabbb zzzbaccab bacccb caaccbcb
cbcbbc aaacccbc zzzbcaaca aacaa
cab bbaacbc baa zzzabb
acbabcbb ccaaabbc zzzaabaaaba aaabb
ccabacba babccab zzzbcaccbcb aacbacb
cabacb acbabb zzzcbbcca cccaab
zzzaccacc aca cb cbacca
bac zzzbaaac bcbca cbccabab
ba cabaaab abaabbaa zzzcaccbaa
acc aacccba zzzba cc
cbacb abbbbb abbaabac zzzbaaaac
accaa ba zzzbc ccabccbb
zzzcbaa bbab cbc cca
bcabaca bca zzzbaa bbbc
acbbb cc bacaccca zzzcb
acaacca caacaca zzzacacbbb cbb
zzzbbccacab bbccccb accacccb aaaaaaaa
zzzbbcaab abacbaa acaaaa baaca
cba zzzacb bcaababa aabaca
zzzabca aaabcba acbabcaa bbac
zzzbccb aaa babc bacbb
abaabbcb abaaa abcba zzzbaaacbaa
bacba cac zzzcaabccb bcacbcc
aacbbacc zzzbbcbacab bccbaccb acbababb
zzzccccaab bbbabca caacca cabbbacb
acaa zzzaa cb abcccaba
cacccba acb aac zzzcab
abbc acc bbb zzzbcca
ac zzzcb aa aaaa
zzzbbbccb ccaca bc bccaaa
cbcaca zzzcabcac cbcbac bbabb
zzzac bc bacbaccc ccbcabbb
acabbaac zzzaabbcbcc cc cacacac
bab abc ccaba zzzbbc
accccbca caaacc caababbb zzzbbcbbaab
aabcab cac cbbacb zzzccccab
babca ccbcaa aaccaa zzzbcabac
zzzbaabab bbaa acbbba ca
zzzac baaaab cb bc
aacb cb zzzbb ababc
zzzccbccba ccbccc bbbabbb cabacbc
abc aacccc bacca zzzaac
cacc aba bbbca zzzaaa
cc zzzbb bcccb abbacb
cccbbccb zzzccc ccbcbcab bbb
cb acbb zzzbaabcbc acabacb
acbccaaa zzzcc babaac cb
abccc cbcc zzzaaaac babcca
acbcb zzzbaaccaba ccabccbc cbaaccbc
zzzbaacbba ccacaab bcaa baca
abaaacbc aaaacac zzzcbaaaca bbc
cba cbacba zzzbbca cacc
acca zzzccaabccb acbccb babacaaa
bacccb aaa ab zzzaca
abacbab aba zzzcab aac
caacb abbbac zzzacbcc ccbba
abaabb zzzababcbb aaabc cbcbbcb
ab zzzba cbabc bbb
bbbcbac acbacab zzzabccc ccaba
bcbca bcb zzzacbcccc bcaacbc
cbcbcba zzzbc abcaaccc cb
zzzca bc ca cabaacc
acb cacccbac zzzccbc ccbb
zzzbbccbb cba cac bcccbc
ccc cbbbcbc abbb zzzaacc
ba cbac accba zzzbbbcb
zzzbabcaa caabbb caaccaba bbcaab
bcc cb zzzbaab cbac
zzzaabccb acaaca bbacabab bacbbb
zzzacc acb cca cabaccbb
abcbbcc zzzabbccac ccbacbba cbbbaa
zzzbacab cac ccbaa bcacc
aaa zzzca bc aaccbc
zzzbbabbca accaacc cab ccab
abcabc accbc zzzbcb bba
zzzccacbbc bcba aacc abcacac
caac cacaaa cbbccabb zzzbbabbbca
bbcac caa zzzccb ba
zzzccbaa aacbbcac bbaab bacaabc
bbc acbbbc zzzbabaac abbc
cca abbccaa zzzaaccccc bacabcb
baacb bbcaab zzzac ca
abaaba cccc cbcc zzzabab
caab abbaaca bac zzzbbacaaa
aabcaca caacbac zzzabbacb cccccc
ccac bcba zzzcbcc caabbaaa
bacc zzzbbcaaba caccbab acbaaca
zzzbbab cbcc babc ac
babcacc abbbcc cacbaa zzzacccacc
ac aaaabcc zzzbbaccbb bb
bcbbb ac zzzabcbc abacc
abbcb bbbcaba accb zzzaaabbcc
zzzbabb bbbc caacbb aaca
cbaac cb zzzaab baa
cba zzzcaa ababb aabaccbb
bccbac caccaac aa zzzbaacbbc
zzzacaaba bbbacb accbac ac
zzzbcbacbca bb babccacc accacca
abcb zzzcbba bacaba accc
accc zzzbaabaa cbcbcaa abbcbc
cccaab zzzcababb cccc bcabbcbb
zzzcbacb aaba bbcca ba
abcabc zzzbbacc cabca aacaac
ab zzzacbccccb acbaabb bcccbcba
zzzacccaa cabccc bcca baaccc
cabc bacbbbb zzzcbcacb acbbba
ac zzzbbaab bbacb abbacc
cabcaaa acccaa zzzcab abc
cbaac zzzbabbbaba ccaaaaaa aa
zzzcc cacaa ac ccabcaca
aaaabb bccba zzzccacbb bbbcbc
abbabca bcccabb abacb zzzcbbabca
ccca acbab baccbbab zzzcacacbcc
zzzcbcbaaa bbaaacc cbcb ccbba
zzzabcacbb cccaba acbbcca baacab
bab zzzbaca abba baccb
cbcb cb zzzcccb abc
bbbcaaa acaabcaa bbaba zzzcbbbbcba
acb bcbcaaaa bbaaabbb zzzcccccbac
ca cbccaaca accacb zzzaa
bcbaab zzzbacaa bbccc ac
zzzcaacbcca ababacaa bca aacabc
cacbbac zzzbccabaa cacabbcb babcc
cba cbc zzzacb cacac
zzzacbaaac bcab aabbbaa aaacaac
zzzbcbccaa bacabbb bbaba bbb
cbccba ababcbb bcbaaaaa zzzabbbbbc
abccacbc cc abcb zzzacabccba
zzzbbcab cccb aaccc acba
ac zzzabbb acaa aababacb
aaacc zzzcabccbc aaabbac cabccbab
cab ccc zzzaab bbcccbcc
acbcbbcc zzzbbcbcaca bacacbc ccbaacac
aacb bbaaacc zzzccbb aaaca
